cve,cvss_v3_base,cvss_v3_severity,cvss_v2_base,last_fetched
CVE-2022-0543,NA,NA,NA,2026-04-20
CVE-2021-38646,NA,NA,NA,2026-04-20
CVE-2021-34486,NA,NA,NA,2026-04-20
CVE-2021-26085,NA,NA,NA,2026-04-20
CVE-2021-20028,NA,NA,NA,2026-04-20
CVE-2019-7483,NA,NA,NA,2026-04-20
CVE-2018-8440,7.8,HIGH,7.2,2026-04-20
CVE-2018-8406,NA,NA,NA,2026-04-20
CVE-2018-8405,NA,NA,NA,2026-04-20
CVE-2017-0213,NA,NA,NA,2026-04-20
CVE-2017-0059,NA,NA,NA,2026-04-20
CVE-2017-0037,NA,NA,NA,2026-04-20
CVE-2016-7201,NA,NA,NA,2026-04-20
CVE-2016-7200,NA,NA,NA,2026-04-20
CVE-2016-0189,7.5,HIGH,7.6,2026-04-20
CVE-2016-0151,NA,NA,NA,2026-04-20
CVE-2016-0040,NA,NA,NA,2026-04-20
CVE-2015-2426,NA,NA,NA,2026-04-20
CVE-2015-2419,NA,NA,NA,2026-04-20
CVE-2015-1770,NA,NA,NA,2026-04-20
CVE-2013-3660,NA,NA,NA,2026-04-20
CVE-2013-2729,9.8,CRITICAL,10,2026-04-20
CVE-2013-2551,NA,NA,NA,2026-04-20
CVE-2013-2465,NA,NA,NA,2026-04-20
CVE-2013-1690,NA,NA,NA,2026-04-20
CVE-2012-5076,NA,NA,NA,2026-04-20
CVE-2012-2539,NA,NA,NA,2026-04-20
CVE-2012-2034,NA,NA,NA,2026-04-20
CVE-2012-0518,NA,NA,NA,2026-04-20
CVE-2011-2005,7.8,HIGH,7.2,2026-04-20
CVE-2010-4398,NA,NA,NA,2026-04-20
CVE-2022-26318,NA,NA,NA,2026-04-20
CVE-2022-26143,NA,NA,NA,2026-04-20
CVE-2022-21999,NA,NA,NA,2026-04-20
CVE-2021-42237,NA,NA,NA,2026-04-20
CVE-2021-22941,NA,NA,NA,2026-04-20
CVE-2020-9377,8.8,HIGH,6.5,2026-04-20
CVE-2020-9054,NA,NA,NA,2026-04-20
CVE-2020-7247,NA,NA,NA,2026-04-20
CVE-2020-5410,NA,NA,NA,2026-04-20
CVE-2020-25223,NA,NA,NA,2026-04-20
CVE-2020-2506,NA,NA,NA,2026-04-20
CVE-2020-2021,NA,NA,NA,2026-04-20
CVE-2020-1956,NA,NA,NA,2026-04-20
CVE-2020-1631,8.8,HIGH,6.8,2026-04-20
CVE-2019-6340,NA,NA,NA,2026-04-20
