year,geo,geo_label,value
2017,ector,Ector Co. (Odessa),10478298
2017,gaines,Gaines Co. (Seminole),1901840
2017,glasscock,Glasscock Co. (Garden City),1715900
2017,howard,Howard Co. (Big Spring),3501424
2017,irion,Irion Co. (Mertzon),809921
2017,kimble,Kimble Co. (Junction),117167
2017,loving,Loving Co. (Mentone),3228124
2017,martin,Martin Co. (Stanton),3014525
2017,mason,Mason Co. (Mason),110763
2017,mcculloch,McCulloch Co. (Brady),358980
2017,menard,Menard Co. (Menard),43639
2017,midland,Midland Co. (Midland),18874725
2017,pecos,Pecos Co. (Fort Stockton),1575454
2017,reagan,Reagan Co. (Big Lake),2302906
2017,reeves,Reeves Co. (Pecos),5251844
2017,schleicher,Schleicher Co. (Eldorado),109971
2017,sterling,Sterling Co. (Sterling City),221504
2017,sutton,Sutton Co. (Sonora),310719
2017,terrell,Terrell Co. (Sanderson),91391
2017,tom_green,Tom Green Co. (San Angelo),5302404
2017,TX,Texas,1667313043
2017,upton,Upton Co. (Rankin),2868424
2017,US,United States,19612102000
2017,ward,Ward Co. (Monahans),1897650
2017,winkler,Winkler Co. (Kermit),841104
2018,andrews,Andrews Co. (Andrews),2803950
2018,borden,Borden Co. (Gail),287171
2018,coke,Coke Co. (Robert Lee),96546
2018,concho,Concho Co. (Paint Rock),80841
2018,crane,Crane Co. (Crane),493294
2018,crockett,Crockett Co. (Ozona),623527
2018,dawson,Dawson Co. (Lamesa),682543
2018,ector,Ector Co. (Odessa),12490648
2018,gaines,Gaines Co. (Seminole),1755033
2018,glasscock,Glasscock Co. (Garden City),2186202
2018,howard,Howard Co. (Big Spring),4514213
2018,irion,Irion Co. (Mertzon),715050
2018,kimble,Kimble Co. (Junction),132596
2018,loving,Loving Co. (Mentone),4400055
2018,martin,Martin Co. (Stanton),4141905
2018,mason,Mason Co. (Mason),117039
2018,mcculloch,McCulloch Co. (Brady),377750
2018,menard,Menard Co. (Menard),47890
2018,midland,Midland Co. (Midland),23395416
2018,pecos,Pecos Co. (Fort Stockton),1882725
2018,reagan,Reagan Co. (Big Lake),2511314
2018,reeves,Reeves Co. (Pecos),6260557
2018,schleicher,Schleicher Co. (Eldorado),106815
2018,sterling,Sterling Co. (Sterling City),210867
2018,sutton,Sutton Co. (Sonora),309119
2018,terrell,Terrell Co. (Sanderson),69230
2018,tom_green,Tom Green Co. (San Angelo),5757178
2018,TX,Texas,1746543257
2018,upton,Upton Co. (Rankin),2954032
2018,US,United States,20193896000
2018,ward,Ward Co. (Monahans),2531367
2018,winkler,Winkler Co. (Kermit),1167142
2019,andrews,Andrews Co. (Andrews),2921685
2019,borden,Borden Co. (Gail),446349
2019,coke,Coke Co. (Robert Lee),93543
2019,concho,Concho Co. (Paint Rock),106692
2019,crane,Crane Co. (Crane),564973
2019,crockett,Crockett Co. (Ozona),607438
2019,dawson,Dawson Co. (Lamesa),640835
2019,ector,Ector Co. (Odessa),12974711
2019,gaines,Gaines Co. (Seminole),1958758
2019,glasscock,Glasscock Co. (Garden City),2624310
2019,howard,Howard Co. (Big Spring),5695839
2019,irion,Irion Co. (Mertzon),935662
2019,kimble,Kimble Co. (Junction),130118
2019,loving,Loving Co. (Mentone),5916987
2019,martin,Martin Co. (Stanton),6297460
2019,mason,Mason Co. (Mason),117467
2019,mcculloch,McCulloch Co. (Brady),335337
2019,menard,Menard Co. (Menard),48279
2019,midland,Midland Co. (Midland),26788649
2019,pecos,Pecos Co. (Fort Stockton),2431893
2019,reagan,Reagan Co. (Big Lake),3042732
2019,reeves,Reeves Co. (Pecos),11538361
2019,schleicher,Schleicher Co. (Eldorado),129163
2019,sterling,Sterling Co. (Sterling City),219717
2019,sutton,Sutton Co. (Sonora),287301
2019,terrell,Terrell Co. (Sanderson),70158
2019,tom_green,Tom Green Co. (San Angelo),6163705
2019,TX,Texas,1806736077
2019,upton,Upton Co. (Rankin),3824549
2019,US,United States,20715671000
2019,ward,Ward Co. (Monahans),3444639
2019,winkler,Winkler Co. (Kermit),1560881
2020,andrews,Andrews Co. (Andrews),2682766
2020,borden,Borden Co. (Gail),436425
2020,coke,Coke Co. (Robert Lee),97826
2020,concho,Concho Co. (Paint Rock),122079
2020,crane,Crane Co. (Crane),554557
2020,crockett,Crockett Co. (Ozona),639812
2020,dawson,Dawson Co. (Lamesa),664315
2020,ector,Ector Co. (Odessa),10974379
2020,gaines,Gaines Co. (Seminole),1874959
2020,glasscock,Glasscock Co. (Garden City),2590650
2020,howard,Howard Co. (Big Spring),5796485
2020,irion,Irion Co. (Mertzon),881937
2020,kimble,Kimble Co. (Junction),134355
